INFO 2025-05-06 17:42:16,957 autoreload 27504 1428 Watching for file changes with StatReloader
INFO 2025-05-22 02:00:31,126 basehttp 30768 16164 "POST /api/v1/accounts/check/account/ HTTP/1.1" 200 81
INFO 2025-05-22 02:00:37,389 basehttp 30768 16164 "POST /api/v1/accounts/check/account/ HTTP/1.1" 200 82
INFO 2025-05-22 02:00:40,296 basehttp 30768 16164 "OPTIONS /api/v1/accounts/check/email/ HTTP/1.1" 200 0
INFO 2025-05-22 02:00:40,306 basehttp 30768 16164 "POST /api/v1/accounts/check/email/ HTTP/1.1" 200 87
INFO 2025-05-22 02:01:41,587 basehttp 30768 16164 "POST /api/v1/accounts/token/ HTTP/1.1" 200 571
INFO 2025-05-22 02:02:15,437 basehttp 30768 16164 "POST /api/v1/accounts/check/account/ HTTP/1.1" 200 81
INFO 2025-05-22 02:02:48,218 basehttp 30768 16164 "POST /api/v1/accounts/check/account/ HTTP/1.1" 200 81
INFO 2025-05-22 02:03:21,021 basehttp 30768 16164 "POST /api/v1/accounts/check/account/ HTTP/1.1" 200 81
INFO 2025-05-22 02:04:16,935 basehttp 30768 16164 "POST /api/v1/accounts/check/account/ HTTP/1.1" 200 81
WARNING 2025-05-22 02:04:43,936 basehttp 30768 16164 "POST /api/v1/accounts/token/ HTTP/1.1" 400 147
INFO 2025-05-22 02:04:53,965 basehttp 30768 16164 "POST /api/v1/accounts/token/ HTTP/1.1" 200 571
INFO 2025-05-22 02:18:58,521 basehttp 30768 4512 "POST /api/v1/accounts/check/account/ HTTP/1.1" 200 82
INFO 2025-05-22 02:19:01,466 basehttp 30768 4512 "POST /api/v1/accounts/check/email/ HTTP/1.1" 200 87
INFO 2025-05-22 02:19:04,431 basehttp 30768 4512 "POST /api/v1/accounts/check/email/ HTTP/1.1" 200 87
INFO 2025-05-22 02:19:10,387 basehttp 30768 4512 "POST /api/v1/accounts/check/email/ HTTP/1.1" 200 88
INFO 2025-05-22 02:19:21,415 basehttp 30768 4512 "OPTIONS /api/v1/accounts/check/password/ HTTP/1.1" 200 0
INFO 2025-05-22 02:19:21,418 basehttp 30768 4512 "POST /api/v1/accounts/check/password/ HTTP/1.1" 200 82
INFO 2025-05-22 02:19:22,233 basehttp 30768 4512 "POST /api/v1/accounts/register/ HTTP/1.1" 201 606
INFO 2025-05-22 03:26:07,215 basehttp 30768 46868 "POST /api/v1/accounts/check/account/ HTTP/1.1" 200 81
INFO 2025-05-22 03:26:15,538 basehttp 30768 46868 "POST /api/v1/accounts/check/account/ HTTP/1.1" 200 82
INFO 2025-05-22 03:26:21,426 basehttp 30768 46868 "POST /api/v1/accounts/check/email/ HTTP/1.1" 200 88
INFO 2025-05-22 03:26:28,587 basehttp 30768 46868 "POST /api/v1/accounts/check/account/ HTTP/1.1" 200 82
INFO 2025-05-22 03:26:29,479 basehttp 30768 46868 "POST /api/v1/accounts/check/email/ HTTP/1.1" 200 88
INFO 2025-05-22 03:26:31,188 basehttp 30768 46868 "POST /api/v1/accounts/check/email/ HTTP/1.1" 200 88
INFO 2025-05-22 03:26:45,349 basehttp 30768 46868 "POST /api/v1/accounts/check/account/ HTTP/1.1" 200 82
INFO 2025-05-22 03:26:46,258 basehttp 30768 46868 "POST /api/v1/accounts/check/email/ HTTP/1.1" 200 88
INFO 2025-05-22 03:27:30,794 basehttp 30768 46868 "OPTIONS /api/v1/accounts/token/ HTTP/1.1" 200 0
INFO 2025-05-22 03:27:31,728 basehttp 30768 46868 "POST /api/v1/accounts/token/ HTTP/1.1" 200 571
INFO 2025-05-22 11:09:54,900 autoreload 48968 23904 Watching for file changes with StatReloader
INFO 2025-05-22 11:28:24,483 basehttp 48968 27288 "OPTIONS /api/plans/ HTTP/1.1" 200 0
INFO 2025-05-22 11:28:24,483 basehttp 48968 16192 "OPTIONS /api/plans/ HTTP/1.1" 200 0
WARNING 2025-05-22 11:28:24,503 basehttp 48968 16192 "GET /api/plans/ HTTP/1.1" 404 3865
WARNING 2025-05-22 11:28:24,512 basehttp 48968 27288 "GET /api/plans/ HTTP/1.1" 404 3865
INFO 2025-05-22 11:31:55,300 basehttp 48968 27288 "OPTIONS /api/v1/accounts/plans/today/ HTTP/1.1" 200 0
INFO 2025-05-22 11:31:55,300 basehttp 48968 16192 "OPTIONS /api/v1/accounts/plans/today/ HTTP/1.1" 200 0
WARNING 2025-05-22 11:31:55,358 basehttp 48968 16192 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 401 61
WARNING 2025-05-22 11:31:55,358 basehttp 48968 27288 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 401 61
INFO 2025-05-22 11:32:18,852 autoreload 48968 23904 C:\Users\leo\gradProject\backend\accounts\views.py changed, reloading.
INFO 2025-05-22 11:32:20,970 autoreload 20420 26532 Watching for file changes with StatReloader
INFO 2025-05-22 11:32:34,347 autoreload 20420 26532 C:\Users\leo\gradProject\backend\accounts\urls.py changed, reloading.
INFO 2025-05-22 11:32:35,735 autoreload 47916 47792 Watching for file changes with StatReloader
WARNING 2025-05-22 11:33:36,182 basehttp 47916 9156 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 401 61
WARNING 2025-05-22 11:33:36,191 basehttp 47916 9156 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 401 61
WARNING 2025-05-22 11:33:38,013 basehttp 47916 9156 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 401 61
WARNING 2025-05-22 11:33:38,018 basehttp 47916 9156 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 401 61
WARNING 2025-05-22 11:39:11,424 basehttp 47916 43504 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 401 61
WARNING 2025-05-22 11:39:11,432 basehttp 47916 43504 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 401 61
INFO 2025-05-22 11:39:31,182 autoreload 47916 47792 C:\Users\leo\gradProject\backend\accounts\views.py changed, reloading.
INFO 2025-05-22 11:39:33,009 autoreload 48896 51920 Watching for file changes with StatReloader
WARNING 2025-05-22 11:39:44,813 basehttp 48896 9476 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 401 61
WARNING 2025-05-22 11:39:44,816 basehttp 48896 9476 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 401 61
WARNING 2025-05-22 11:39:45,551 basehttp 48896 9476 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 401 61
WARNING 2025-05-22 11:39:45,557 basehttp 48896 9476 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 401 61
INFO 2025-05-22 11:42:59,402 basehttp 48896 9476 "OPTIONS /api/v1/accounts/token/ HTTP/1.1" 200 0
INFO 2025-05-22 11:42:59,800 basehttp 48896 9476 "POST /api/v1/accounts/token/ HTTP/1.1" 200 571
INFO 2025-05-22 11:42:59,838 basehttp 48896 9476 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 200 62
INFO 2025-05-22 11:42:59,847 basehttp 48896 9476 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 200 62
INFO 2025-05-22 11:43:18,747 basehttp 48896 9476 "OPTIONS /api/v1/accounts/plans/create/ HTTP/1.1" 200 0
INFO 2025-05-22 11:43:18,760 basehttp 48896 9476 "POST /api/v1/accounts/plans/create/ HTTP/1.1" 201 159
INFO 2025-05-22 11:43:18,770 basehttp 48896 9476 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 200 155
INFO 2025-05-22 11:51:00,265 basehttp 48896 19104 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 200 155
INFO 2025-05-22 11:51:00,277 basehttp 48896 19104 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 200 155
INFO 2025-05-22 11:51:22,752 basehttp 48896 19104 "OPTIONS /api/v1/accounts/plans/today/ HTTP/1.1" 200 0
INFO 2025-05-22 11:51:22,752 basehttp 48896 34940 "OPTIONS /api/v1/accounts/plans/today/ HTTP/1.1" 200 0
INFO 2025-05-22 11:51:22,777 basehttp 48896 19104 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 200 155
INFO 2025-05-22 11:51:22,777 basehttp 48896 34940 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 200 155
INFO 2025-05-22 12:06:05,321 basehttp 48896 24904 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 200 155
INFO 2025-05-22 12:06:05,328 basehttp 48896 24904 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 200 155
INFO 2025-05-22 12:11:44,103 basehttp 48896 13768 "POST /api/v1/accounts/token/ HTTP/1.1" 200 571
INFO 2025-05-22 12:11:44,160 basehttp 48896 13768 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 200 155
INFO 2025-05-22 12:11:44,176 basehttp 48896 49044 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 200 155
INFO 2025-05-22 12:20:57,813 basehttp 48896 22412 "POST /api/v1/accounts/token/ HTTP/1.1" 200 571
INFO 2025-05-22 12:20:57,880 basehttp 48896 22412 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 200 155
INFO 2025-05-22 12:20:57,890 basehttp 48896 41716 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 200 155
INFO 2025-05-22 12:43:27,700 basehttp 48896 44704 "POST /api/v1/accounts/token/ HTTP/1.1" 200 571
INFO 2025-05-22 12:43:27,747 basehttp 48896 44704 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 200 155
INFO 2025-05-22 12:43:27,758 basehttp 48896 47656 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 200 155
INFO 2025-05-22 12:44:03,002 basehttp 48896 47656 "OPTIONS /api/v1/accounts/plans/1/complete/ HTTP/1.1" 200 0
INFO 2025-05-22 12:44:03,046 basehttp 48896 47656 "PATCH /api/v1/accounts/plans/1/complete/ HTTP/1.1" 200 164
INFO 2025-05-22 12:44:03,066 basehttp 48896 47656 "GET /api/v1/accounts/plans/today/ HTTP/1.1" 200 154
